Position,Runner,Time,Race Score,Age-Group,Gender,Nationality
1,RICHARD Victor,66:08:22,880,35-39,M,BEL
2,CORSINI Simone,71:48:55,810,23-34,M,ITA
2,PERRIER Martin,71:48:55,810,35-39,M,FRA
4,LANTERMINO Danilo,73:37:07,790,40-44,M,ITA
5,DORRONSORO Unai,74:15:19,783,40-44,M,ESP
6,Zhang WEIQIANG,74:33:59,780,40-44,M,CHN
7,MACCHI Andrea,75:40:49,769,35-39,M,ITA
8,NAVA Daniele,76:33:52,760,35-39,M,ITA
9,ORNATI Giulio,76:50:12,757,35-39,M,ITA
10,GRASEL Florian,78:24:51,742,40-44,M,AUT
11,ECCLES Lawrence,78:43:32,739,40-44,M,GBR
12,SHERPA Sange,78:58:57,736,40-44,M,NEP
13,VAN DER VEEN Noor,79:34:30,731,23-34,F,NED
14,GALEATI Gianluca,80:43:31,721,40-44,M,ITA
15,ROSTAGNO Alessandro,81:08:03,717,45-49,M,ITA
16,SANCHEZ Aurelien,81:50:24,711,23-34,M,USA
17,PEREZ VELARDE Juan Francisco,81:51:03,711,50-54,M,ESP
18,BORZANI Lisa,83:26:06,697,45-49,F,ITA
19,TAYLOR Natalie,84:11:31,691,40-44,F,GBR
20,BULIGA Corneliu,84:38:16,687,35-39,M,ROU
21,PAGANELLI Melissa,84:55:25,685,23-34,F,ITA
22,NAKATANI Ryota,85:05:28,684,23-34,M,JPN
23,BOSATELLI Oliviero Ignazio,86:16:17,674,55-59,M,ITA
24,SCHJOLBERG Hallvard,86:32:22,672,50-54,M,NOR
25,Anonymous 393891,88:20:43,658,-,-,ESP
26,KELLY John,88:28:53,657,40-44,M,USA
27,DEVAUX Francois,88:48:00,655,35-39,M,FRA
28,LUDOVISI Emanuele,89:31:40,650,40-44,M,ITA
29,GERBIN Kaytlyn,90:34:20,642,35-39,F,USA
30,TIERNEY Paul,90:43:24,641,40-44,M,IRL
31,SOMMER Corina,91:22:48,636,50-54,F,SUI
32,MIRBACH Lars,91:42:13,634,40-44,M,FRA
33,MAKSIMAINEN Ville,91:58:11,632,45-49,M,FIN
34,STORC Joseph,92:02:10,632,40-44,M,USA
35,FERNANDEZ VARELA Fidel,92:46:37,627,40-44,M,ESP
36,MASRAMON BALLUS Marc,93:19:24,623,45-49,M,ESP
37,BAI Xingzhi,93:23:55,623,35-39,M,CHN
38,RIPERT Sylvain,93:59:34,619,23-34,M,FRA
39,CURRERI Edoardo,94:04:17,618,23-34,M,ITA
40,TOKUMOTO Junko,94:17:59,617,35-39,F,JPN
41,VALLARINO Francesco,94:29:57,615,35-39,M,ITA
42,RADICE Angelo Gian Mattia,94:39:11,614,50-54,M,ITA
43,NICCO Daniele,95:07:18,611,40-44,M,ITA
44,ZIMMERMANN Denise,95:50:15,607,45-49,F,SUI
45,DAWIRS Olivier,96:14:48,604,35-39,M,BEL
46,DOUCET Samuel,96:21:39,604,23-34,M,FRA
47,MARCUCCILLI Jeremie,96:22:54,603,40-44,M,FRA
48,PEDRETTI Sergio,96:39:21,602,45-49,M,ITA
49,GRANT Sophie,96:40:37,602,40-44,F,NZL
50,KARRER Beat,96:40:54,602,45-49,M,SUI
51,PEDERZOLI Alessandro,96:53:45,600,40-44,M,ITA
52,CANAL MONTE Jorge,97:04:34,599,40-44,M,ESP
53,POLLATZ Charlotte,97:06:08,599,35-39,F,FRA
54,CAGLIANI Michele,97:16:13,598,45-49,M,ITA
55,BOCLINVILLE Gauthier,97:28:07,597,40-44,M,BEL
56,COLLE Stefano,97:42:31,595,40-44,M,ITA
57,SANTOS POSE Jose Manuel,98:00:11,593,50-54,M,ESP
58,O FARRELL Lonan,98:16:22,592,40-44,M,IRL
59,TIDD Bill,98:20:07,591,60-64,M,USA
60,REN Dapeng,98:30:02,590,40-44,M,CHN
61,WANG Yuxuan,99:10:24,586,50-54,M,CHN
62,HUGHES Annie,99:16:37,586,23-34,F,USA
63,PLATAMONE Patrick,99:25:09,585,35-39,M,SUI
64,CHILOVI Luca,99:33:24,584,23-34,M,ITA
65,CHEN RONGRONG,99:57:50,582,40-44,F,CHN
66,JUMISKO Juha,100:46:26,577,40-44,M,FIN
67,BUONO Ludovic,100:46:40,577,40-44,M,SUI
68,KUZMIAK Stanislaw,101:10:11,575,45-49,M,POL
69,VOGEL Mark,101:20:52,574,50-54,M,USA
70,TOLLET Ghislain,101:44:03,572,23-34,M,FRA
71,ZANOVELLO Giulia,101:52:56,571,23-34,F,ITA
72,VILARDELL Albert,101:57:43,570,45-49,M,ESP
73,MORRISON MARTIN,102:05:22,570,50-54,M,GBR
74,RINCON CALVENTE Cristian,102:26:34,568,23-34,M,ESP
75,ROUALDES Mathieu,102:42:09,566,35-39,M,FRA
75,SCHWEYER Remi,102:42:09,566,35-39,M,FRA
77,MICHIELLI Valentina,102:58:09,565,40-44,F,ITA
78,BOURIEL Steve,103:10:15,564,40-44,M,FRA
78,BOURIEL Yoann,103:10:15,564,40-44,M,FRA
80,LORIN AURELIEN,103:18:58,563,45-49,M,CAN
81,CAUSSARIEU Valery,103:33:06,562,50-54,M,FRA
82,SANTOS Nuno,103:45:07,560,50-54,M,POR
83,ZHANG Huiping,103:45:29,560,35-39,F,CHN
84,SOLIGO Lorenzo,103:46:33,560,45-49,M,ITA
85,FOWLKES Jonathan,104:03:32,559,40-44,M,USA
86,GOURBESVILLE Emmanuel,104:06:36,559,45-49,M,FRA
87,HUZIJ Frank,104:09:57,558,55-59,M,AUT
88,CHARRIER Nicolas,104:13:05,558,45-49,M,FRA
89,CAROLI Stefano,104:15:05,558,40-44,M,ITA
90,CATTANEO Andrea,104:19:55,557,40-44,M,ITA
91,GUERINI Luca,104:27:44,557,55-59,M,ITA
92,MELANDA Licinio,104:42:35,555,45-49,M,LUX
93,YAMASAKI Kiichiro,105:04:21,553,45-49,M,JPN
94,LOULA Jan,105:09:38,553,23-34,M,CAN
95,EVANGELOS Bakas,105:14:22,553,50-54,M,GRE
96,FAIRMAN Alex,105:17:41,552,35-39,M,GBR
97,PETRIDIS DEROSSI Gabriel,105:19:34,552,23-34,M,CAN
98,PONCHON Barthelemy,105:20:57,552,35-39,M,FRA
99,CARUSI Fabio,105:26:07,552,50-54,M,ITA
100,BRUESCHWEILER Roman,105:32:31,551,50-54,M,SUI
101,TRISTANTE Alberto,105:44:17,550,45-49,M,ESP
102,CAPACCHIONE Matteo,105:44:19,550,35-39,M,ITA
103,BLANC Steeven,105:47:19,550,23-34,M,FRA
104,CAVALLINI Simonluca,105:52:46,549,45-49,M,ITA
105,TAUTSCHER Hannes,105:54:42,549,50-54,M,AUT
106,PEDROTTI Dario,105:59:49,549,50-54,M,ITA
107,HERCEGFI Timo,106:03:38,548,50-54,M,GER
108,DE BERTI Tommaso,106:15:01,547,45-49,M,ITA
109,LUNDQVIST Maria,106:21:36,547,35-39,F,SWE
110,DEKEYSER Laurens,106:27:03,546,23-34,M,BEL
111,Zabrodsky Dusan,106:34:09,546,45-49,M,CZE
112,RIGAL Julien,106:49:20,544,40-44,M,FRA
113,STEEN Benjamin,106:52:55,544,45-49,M,FRA
